number,Date,Time,Event
1,10/10/2025,07:07:00,Eyes Closed
2,10/10/2025,07:07:07,Eyes Closed
3,10/10/2025,07:07:14,Eyes Closed
4,10/10/2025,07:07:27,Eyes Closed
5,10/10/2025,07:46:11,Eyes Closed
6,10/10/2025,07:46:19,Eyes Closed
7,10/10/2025,16:23:48,Yawning
8,10/10/2025,16:23:51,Eyes Closed
9,10/10/2025,16:23:57,Eyes Closed
10,10/10/2025,16:24:31,Eyes Closed
11,10/10/2025,22:18:02,Eyes Closed
12,10/10/2025,22:18:03,Yawning
13,10/10/2025,22:18:14,Eyes Closed
14,10/10/2025,22:18:19,Eyes Closed
15,10/10/2025,22:18:20,Yawning
16,10/10/2025,22:18:28,Eyes Closed
17,10/10/2025,22:18:35,Eyes Closed
18,10/10/2025,22:18:36,Yawning
19,10/10/2025,22:18:41,Eyes Closed
20,10/10/2025,22:18:46,Eyes Closed
21,10/10/2025,22:18:47,Yawning
22,10/10/2025,22:19:17,Yawning
23,10/10/2025,22:20:25,Yawning
24,10/10/2025,22:20:28,Eyes Closed
25,10/10/2025,22:20:33,Eyes Closed
26,10/10/2025,22:20:38,Eyes Closed
27,10/10/2025,22:21:46,Yawning
